"","var_name","var_desc","var_type","class"
"169","cv008_20","Whether attended school or not - 20th  household member ",0,"numeric"
"170","cv008_21","Whether attended school or not - 21st  household member ",0,"numeric"
"171","cv008_22","Whether attended school or not - 22nd  household member ",0,"numeric"
"172","cv008_23","Whether attended school or not - 23rd  household member ",0,"numeric"
"173","cv008_24","Whether attended school or not - 24th  household member ",0,"numeric"
"174","cv008_25","Whether attended school or not - 25th  household member ",0,"numeric"
"175","cv008_26","Whether attended school or not - 26th  household member ",0,"numeric"
"176","cv008_27","Whether attended school or not - 27th  household member ",0,"numeric"
"177","cv008_28","Whether attended school or not - 28th  household member ",0,"numeric"
"178","cv008_29","Whether attended school or not - 29th  household member ",0,"numeric"
"179","cv008_30","Whether attended school or not - 30th  household member ",0,"numeric"
"180","cv008_31","Whether attended school or not - 31st  household member ",0,"numeric"
"181","cv008_32","Whether attended school or not - 32nd  household member ",0,"numeric"
"182","cv008_33","Whether attended school or not - 33rd  household member ",0,"numeric"
"183","cv008_34","Whether attended school or not - 34th  household member ",0,"numeric"
"184","cv008_35","Whether attended school or not - 35th  household member ",0,"numeric"
"185","cv009_1","Years of education - 1st  household member",0,"numeric"
"186","cv009_2","Years of education - 2nd  household member",0,"numeric"
"187","cv009_3","Years of education - 3rd  household member",0,"numeric"
"188","cv009_4","Years of education - 4th  household member",0,"numeric"
"189","cv009_5","Years of education - 5th  household member",0,"numeric"
"190","cv009_6","Years of education - 6th  household member",0,"numeric"
"191","cv009_7","Years of education - 7th  household member",0,"numeric"
"192","cv009_8","Years of education - 8th  household member",0,"numeric"
"193","cv009_9","Years of education - 9th  household member",0,"numeric"
"194","cv009_10","Years of education - 10th  household member ",0,"numeric"
"195","cv009_11","Years of education - 11th  household member ",0,"numeric"
"196","cv009_12","Years of education - 12th  household member ",0,"numeric"
"197","cv009_13","Years of education - 13th  household member ",0,"numeric"
"198","cv009_14","Years of education - 14th  household member ",0,"numeric"
"199","cv009_15","Years of education - 15th  household member ",0,"numeric"
"200","cv009_16","Years of education - 16th  household member ",0,"numeric"
